W,Q2,cos_th,Sl,Slt,St,Stt,dSl,dSlt,dSt,dStt,phi,E,eps,cs,dcs
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,10,4.056,0.6960215753437198,7.890486868544768,8.247788307492968
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,30,4.056,0.6960215753437198,11.947510093535294,6.4477245329595165
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,50,4.056,0.6960215753437198,18.248212049560465,4.940972430812868
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,70,4.056,0.6960215753437198,24.004137735838427,5.7176217140095895
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,90,4.056,0.6960215753437198,26.73720692837805,6.479515050212362
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,110,4.056,0.6960215753437198,25.413281408061877,5.7176217140095895
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,130,4.056,0.6960215753437198,20.89653587039153,4.940972430812868
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,150,4.056,0.6960215753437198,15.515587125084833,6.4477245329595165
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,170,4.056,0.6960215753437198,11.947954361599285,8.247788307492968
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,190,4.056,0.6960215753437198,11.947954361599287,8.247788307492968
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,210,4.056,0.6960215753437198,15.515587125084837,6.447724532959515
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,230,4.056,0.6960215753437198,20.896535870391528,4.940972430812869
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,250,4.056,0.6960215753437198,25.41328140806187,5.717621714009588
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,270,4.056,0.6960215753437198,26.73720692837805,6.479515050212362
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,290,4.056,0.6960215753437198,24.004137735838434,5.717621714009592
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,310,4.056,0.6960215753437198,18.24821204956047,4.940972430812868
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,330,4.056,0.6960215753437198,11.947510093535302,6.447724532959512
1.85,1.55,-0.6,3.1718222316779396,-1.896035904158681,15.85911134259668,-12.457140965920335,0.6517889747191012,5.09216,3.2589448735955067,8.01972,350,4.056,0.6960215753437198,7.890486868544775,8.247788307492966
