W,Q2,cos_th,Sl,Slt,St,Stt,dSl,dSlt,dSt,dStt,phi,E,eps,cs,dcs
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,10,4.056,0.6960215753437198,12.688570993402784,14.078244687522647
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,30,4.056,0.6960215753437198,30.30426737898027,11.398798835540164
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,50,4.056,0.6960215753437198,59.24609489697064,9.351731394347027
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,70,4.056,0.6960215753437198,89.64231810790838,10.592918260501996
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,90,4.056,0.6960215753437198,112.21541358250391,11.747192900485993
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,110,4.056,0.6960215753437198,122.02666124727357,10.592918260501996
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,130,4.056,0.6960215753437198,120.10875145109105,9.351731394347027
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,150,4.056,0.6960215753437198,112.30430273028323,11.398798835540164
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,170,4.056,0.6960215753437198,105.93557068688838,14.078244687522647
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,190,4.056,0.6960215753437198,105.93557068688838,14.078244687522647
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,210,4.056,0.6960215753437198,112.30430273028324,11.398798835540163
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,230,4.056,0.6960215753437198,120.10875145109105,9.351731394347025
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,250,4.056,0.6960215753437198,122.02666124727357,10.592918260501994
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,270,4.056,0.6960215753437198,112.21541358250393,11.747192900485993
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,290,4.056,0.6960215753437198,89.64231810790844,10.592918260502
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,310,4.056,0.6960215753437198,59.24609489697065,9.351731394347027
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,330,4.056,0.6960215753437198,30.304267378980313,11.398798835540159
1.85,1.55,0.35,14.912395737016386,-43.57389422751111,74.5619787242287,-39.18569000074345,1.471530898876404,7.813069999999993,7.357654494382018,13.0745,350,4.056,0.6960215753437198,12.688570993402813,14.078244687522643
