W,Q2,cos_th,Sl,Slt,St,Stt,dSl,dSlt,dSt,dStt,phi,E,eps,cs,dcs
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,10,4.056,0.6960215753437198,24.435518788925677,9.26845744888467
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,30,4.056,0.6960215753437198,26.7329567865592,7.446595190761147
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,50,4.056,0.6960215753437198,31.219683687019227,5.979231488829792
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,70,4.056,0.6960215753437198,37.613389365040916,6.736632703747631
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,90,4.056,0.6960215753437198,45.37053213454835,7.492274220413154
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,110,4.056,0.6960215753437198,53.645385615990556,6.736632703747633
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,130,4.056,0.6960215753437198,61.34998083398867,5.979231488829792
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,150,4.056,0.6960215753437198,67.32739631779735,7.446595190761147
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,170,4.056,0.6960215753437198,70.59781218684475,9.26845744888467
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,190,4.056,0.6960215753437198,70.59781218684475,9.26845744888467
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,210,4.056,0.6960215753437198,67.32739631779735,7.446595190761146
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,230,4.056,0.6960215753437198,61.34998083398867,5.979231488829792
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,250,4.056,0.6960215753437198,53.64538561599057,6.73663270374763
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,270,4.056,0.6960215753437198,45.370532134548355,7.492274220413154
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,290,4.056,0.6960215753437198,37.61338936504094,6.736632703747634
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,310,4.056,0.6960215753437198,31.219683687019227,5.979231488829791
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,330,4.056,0.6960215753437198,26.732956786559207,7.446595190761143
1.85,1.55,-0.25,8.159548076727397,-21.571427460746335,40.79774023984501,1.589648440433606,0.8901632724719111,5.447500000000002,4.450816362359561,8.613300000000004,350,4.056,0.6960215753437198,24.43551878892568,9.268457448884668
