Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
3.45,1.907,0.0,9.535,0.0,1.875,-1.0,0.37,0.0,1.848,0.0
3.45,1.907,-0.111,9.535,0.955,1.875,-0.99,0.363,0.08,1.814,0.133
3.45,1.907,-0.217,9.535,1.81,1.875,-0.98,0.356,0.16,1.78,0.266
3.45,1.907,-0.318,9.535,2.571,1.875,-0.97,0.35,0.24,1.748,0.398
3.45,1.907,-0.414,9.535,3.24,1.875,-0.96,0.343,0.32,1.716,0.531
3.45,1.907,-0.505,9.535,3.82,1.875,-0.95,0.337,0.4,1.686,0.664
3.45,1.907,-0.591,9.535,4.316,1.875,-0.94,0.331,0.481,1.656,0.797
3.45,1.907,-0.673,9.535,4.73,1.875,-0.93,0.326,0.561,1.628,0.93
3.45,1.907,-0.752,9.535,5.067,1.875,-0.92,0.32,0.641,1.601,1.062
3.45,1.907,-0.826,9.535,5.329,1.875,-0.91,0.315,0.721,1.575,1.195
3.45,1.907,-0.896,9.535,5.52,1.875,-0.9,0.31,0.801,1.55,1.328
3.45,1.907,-0.964,9.535,5.645,1.875,-0.89,0.305,0.881,1.526,1.461
3.45,1.907,-1.027,9.535,5.705,1.875,-0.88,0.301,0.961,1.503,1.594
3.45,1.907,-1.088,9.535,5.705,1.875,-0.87,0.296,1.041,1.481,1.726
3.45,1.907,-1.146,9.535,5.648,1.875,-0.86,0.292,1.121,1.46,1.859
3.45,1.907,-1.202,9.535,5.537,1.875,-0.85,0.288,1.201,1.441,1.992
3.45,1.907,-1.255,9.535,5.377,1.875,-0.84,0.284,1.282,1.422,2.125
3.45,1.907,-1.305,9.535,5.171,1.875,-0.83,0.281,1.362,1.404,2.258
3.45,1.907,-1.354,9.535,4.921,1.875,-0.82,0.278,1.442,1.388,2.39
3.45,1.907,-1.401,9.535,4.632,1.875,-0.81,0.274,1.522,1.372,2.523
3.45,1.907,-1.447,9.535,4.307,1.875,-0.8,0.272,1.602,1.358,2.656
3.45,1.907,-1.491,9.535,3.95,1.875,-0.79,0.269,1.682,1.345,2.789
3.45,1.907,-1.534,9.535,3.564,1.875,-0.78,0.266,1.762,1.332,2.922
3.45,1.899,-1.524,9.495,1.985,1.875,-0.77,0.263,1.775,1.314,2.956
3.45,1.885,-1.663,9.427,1.647,1.875,-0.76,0.258,1.723,1.291,2.897
3.45,1.875,-1.797,9.375,1.309,1.875,-0.75,0.254,1.676,1.271,2.843
3.45,1.867,-1.925,9.337,0.973,1.875,-0.74,0.251,1.633,1.254,2.795
3.45,1.863,-2.048,9.314,0.641,1.875,-0.73,0.248,1.595,1.239,2.752
3.45,1.861,-2.164,9.305,0.317,1.875,-0.72,0.245,1.561,1.227,2.713
3.45,1.862,-2.274,9.309,0.002,1.875,-0.71,0.244,1.531,1.218,2.68
3.45,1.865,-2.378,9.326,-0.303,1.875,-0.7,0.242,1.505,1.21,2.652
3.45,1.871,-2.476,9.356,-0.595,1.875,-0.69,0.241,1.483,1.206,2.628
