Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
4.2,5.865,-9.284,29.325,-12.127,1.875,0.44,1.311,4.241,6.553,6.796
4.2,5.937,-9.631,29.686,-12.124,1.875,0.45,1.329,4.293,6.647,6.848
4.2,6.011,-9.975,30.056,-12.067,1.875,0.46,1.345,4.346,6.727,6.898
4.2,6.087,-10.317,30.434,-11.955,1.875,0.47,1.358,4.399,6.791,6.948
4.2,6.164,-10.656,30.822,-11.788,1.875,0.48,1.367,4.452,6.837,6.996
4.2,6.244,-10.991,31.219,-11.563,1.875,0.49,1.373,4.506,6.863,7.042
4.2,6.325,-11.322,31.626,-11.282,1.875,0.5,1.373,4.559,6.866,7.085
4.2,6.409,-11.647,32.044,-10.942,1.875,0.51,1.369,4.613,6.846,7.126
4.2,6.494,-11.968,32.472,-10.543,1.875,0.52,1.361,4.666,6.805,7.165
4.2,6.583,-12.283,32.913,-10.086,1.875,0.53,1.349,4.718,6.746,7.203
4.2,6.674,-12.591,33.369,-9.571,1.875,0.54,1.335,4.769,6.673,7.24
4.2,6.768,-12.892,33.839,-8.998,1.875,0.55,1.318,4.819,6.588,7.276
4.2,6.865,-13.186,34.325,-8.367,1.875,0.56,1.299,4.867,6.496,7.314
4.2,6.966,-13.471,34.828,-7.679,1.875,0.57,1.28,4.913,6.398,7.352
4.2,7.07,-13.747,35.35,-6.936,1.875,0.58,1.26,4.957,6.3,7.391
4.2,7.178,-14.014,35.891,-6.139,1.875,0.59,1.241,4.998,6.203,7.433
4.2,7.29,-14.271,36.452,-5.289,1.875,0.6,1.222,5.036,6.111,7.478
4.2,7.407,-14.517,37.034,-4.389,1.875,0.61,1.205,5.071,6.027,7.527
4.2,7.528,-14.752,37.639,-3.44,1.875,0.62,1.191,5.102,5.955,7.579
4.2,7.653,-14.974,38.267,-2.446,1.875,0.63,1.179,5.129,5.897,7.637
4.2,7.784,-15.184,38.919,-1.41,1.875,0.64,1.172,5.152,5.858,7.699
4.2,7.919,-15.381,39.596,-0.334,1.875,0.65,1.168,5.17,5.84,7.768
4.2,8.06,-15.563,40.299,0.776,1.875,0.66,1.169,5.183,5.846,7.843
4.2,8.206,-15.73,41.028,1.919,1.875,0.67,1.176,5.191,5.88,7.926
4.2,8.357,-15.882,41.786,3.087,1.875,0.68,1.189,5.193,5.945,8.016
4.2,8.514,-16.017,42.572,4.278,1.875,0.69,1.209,5.19,6.043,8.115
4.2,8.677,-16.135,43.386,5.484,1.875,0.7,1.234,5.184,6.172,8.222
4.2,8.846,-16.235,44.228,6.701,1.875,0.71,1.267,5.177,6.333,8.339
4.2,9.02,-16.316,45.1,7.923,1.875,0.72,1.305,5.17,6.525,8.467
4.2,9.2,-16.378,46.0,9.141,1.875,0.73,1.349,5.165,6.747,8.605
4.2,9.386,-16.419,46.929,10.349,1.875,0.74,1.4,5.163,6.999,8.755
4.2,9.578,-16.439,47.888,11.54,1.875,0.75,1.456,5.167,7.281,8.916
4.2,9.775,-16.436,48.876,12.704,1.875,0.76,1.518,5.178,7.592,9.09
4.2,9.979,-16.409,49.893,13.833,1.875,0.77,1.586,5.198,7.932,9.277
4.2,10.188,-16.359,50.939,14.918,1.875,0.78,1.66,5.229,8.3,9.478
4.2,10.403,-16.282,52.015,15.947,1.875,0.79,1.739,5.272,8.695,9.693
4.2,10.624,-16.179,53.12,16.912,1.875,0.8,1.824,5.329,9.118,9.923
4.2,10.851,-16.048,54.255,17.8,1.875,0.81,1.914,5.402,9.568,10.169
4.2,11.084,-15.887,55.42,18.599,1.875,0.82,2.009,5.492,10.044,10.43
4.2,11.323,-15.695,56.614,19.297,1.875,0.83,2.109,5.601,10.545,10.708
4.2,11.568,-15.47,57.838,19.881,1.875,0.84,2.214,5.732,11.072,11.003
4.2,11.818,-15.21,59.092,20.337,1.875,0.85,2.325,5.885,11.624,11.316
4.2,12.075,-14.914,60.376,20.65,1.875,0.86,2.44,6.063,12.2,11.647
4.2,12.338,-14.578,61.692,20.805,1.875,0.87,2.56,6.267,12.8,11.998
4.2,12.608,-14.2,63.038,20.785,1.875,0.88,2.685,6.499,13.424,12.368
4.2,12.883,-13.777,64.417,20.574,1.875,0.89,2.814,6.76,14.071,12.757
4.2,13.166,-13.303,65.828,20.155,1.875,0.9,2.948,7.053,14.74,13.168
4.2,13.454,-12.775,67.272,19.508,1.875,0.91,3.086,7.379,15.431,13.6
4.2,13.75,-12.185,68.751,18.615,1.875,0.92,3.229,7.739,16.143,14.054
4.2,14.053,-11.525,70.265,17.455,1.875,0.93,3.375,8.136,16.877,14.53
4.2,14.363,-10.782,71.816,16.008,1.875,0.94,3.526,8.572,17.631,15.029
4.2,14.681,-9.941,73.404,14.252,1.875,0.95,3.681,9.047,18.406,15.552
4.2,14.682,-8.976,73.411,12.163,1.875,0.96,3.846,7.238,19.229,12.442
4.2,14.684,-7.842,73.418,9.719,1.875,0.97,4.015,5.428,20.077,9.331
4.2,14.685,-6.456,73.425,6.894,1.875,0.98,4.19,3.619,20.951,6.221
4.2,14.686,-4.6,73.431,3.663,1.875,0.99,4.37,1.809,21.851,3.11
