W,Q2,eps,cos_th,Su,dSu,Slt,dSlt,Stt,dStt
1.975,1.8,0.7836,-0.525,11.3,1.66305,3.467,1.33321,-4.071,2.09974
1.975,1.8,0.7836,-0.3,17.448,2.35113,-1.609,1.4949,-7.785,2.82298
1.975,1.8,0.7836,-0.1,26.854,3.41283,3.365,2.1651,-4.591,3.42044
1.975,1.8,0.7836,0.1,28.62,3.73806,-0.964,2.81526,-6.064,4.21021
1.975,1.8,0.7836,0.3,34.674,4.35322,-6.145,2.93929,-0.85,4.33014
1.975,1.8,0.7836,0.5,40.492,4.93549,-4.407,2.77237,5.704,4.35444
1.975,1.8,0.7836,0.675,37.591,5.07798,-5.569,3.96195,3.253,6.01805
1.975,1.8,0.7836,0.825,40.048,5.22088,-7.451,3.15676,0.686,5.42659
1.975,1.8,0.7836,0.95,56.416,6.99504,-7.195,3.85796,4.022,6.28365
2.025,1.8,0.7683,-0.775,5.891,1.23612,-1.036,1.3395,-0.18,2.1401
2.025,1.8,0.7683,-0.525,4.777,0.910364,1.368,0.919045,-0.781,1.40597
2.025,1.8,0.7683,-0.3,7.986,1.27757,-0.113,1.03108,-3.874,1.92901
2.025,1.8,0.7683,-0.1,12.308,1.77999,0.71,1.36154,-2.927,2.32239
2.025,1.8,0.7683,0.1,18.887,2.55589,-0.85,1.88862,-3.275,2.96784
2.025,1.8,0.7683,0.3,25.352,3.30646,-5.978,2.63647,0.918,3.79952
2.025,1.8,0.7683,0.5,33.235,4.09173,-4.6,2.50256,1.53,3.85816
2.025,1.8,0.7683,0.675,39.436,5.08521,-6.625,3.52527,-0.158,5.43503
2.025,1.8,0.7683,0.825,40.361,5.29852,-4.05,3.5458,13.194,5.72312
2.025,1.8,0.7683,0.95,67.573,8.13908,-8.358,3.95481,5.265,6.47537
2.075,1.8,0.7489,-0.775,4.295,0.951112,0.503,1.10856,1.312,1.66011
2.075,1.8,0.7489,-0.525,2.766,0.632514,0.747,0.711389,0.168,1.07018
2.075,1.8,0.7489,-0.3,4.155,0.871109,0.186,0.896264,-1.131,1.53073
2.075,1.8,0.7489,-0.1,9.414,1.41494,-1.426,1.12445,-3.096,2.03352
2.075,1.8,0.7489,0.1,13.52,1.91279,-2.135,1.57,-1.229,2.49215
2.075,1.8,0.7489,0.3,20.685,2.79397,-6.51,2.46084,-1.963,3.57439
2.075,1.8,0.7489,0.5,27.832,3.51231,-7.879,2.5141,-2.209,3.68507
2.075,1.8,0.7489,0.675,28.186,3.80128,-6.376,3.11271,6.334,4.75214
2.075,1.8,0.7489,0.825,36.791,5.00353,-8.123,3.63543,3.874,5.72298
2.075,1.8,0.7489,0.95,58.406,7.13642,-8.038,3.7663,4.464,6.24986
2.125,1.8,0.7287,-0.775,4.425,0.954137,0.429,1.08716,0.371,1.72355
2.125,1.8,0.7287,-0.525,1.727,0.506664,0.242,0.597671,-0.212,0.980314
2.125,1.8,0.7287,-0.3,3.406,0.809685,-0.47,0.921642,-0.202,1.54718
2.125,1.8,0.7287,-0.1,5.654,1.03578,1.124,1.10287,0.169,1.73411
2.125,1.8,0.7287,0.1,10.875,1.58944,-1.572,1.415,0.559,2.25995
2.125,1.8,0.7287,0.3,13.781,2.02048,-2.808,1.92524,-1.444,2.95583
2.125,1.8,0.7287,0.5,16.8,2.47282,-2.411,2.50692,1.617,3.78773
2.125,1.8,0.7287,0.675,23.003,3.27445,-3.402,2.89351,1.039,4.54263
2.125,1.8,0.7287,0.825,24.94,4.06525,-4.484,4.06202,2.122,6.13902
2.125,1.8,0.7287,0.95,45.22,5.8333,-3.723,3.74442,0.998,6.41206
2.175,1.8,0.7042,-0.775,4.541,0.886289,0.279,0.988539,-0.486,1.617
2.175,1.8,0.7042,-0.525,3.572,0.677205,-0.232,0.732503,-0.055,1.22602
2.175,1.8,0.7042,-0.3,3.434,0.773449,-0.319,0.915761,0.276,1.49635
2.175,1.8,0.7042,-0.1,4.808,0.935226,-0.877,0.960497,-1.397,1.72178
2.175,1.8,0.7042,0.1,9.832,1.49176,-2.249,1.38129,-0.658,2.27031
2.175,1.8,0.7042,0.3,10.841,1.7065,-1.372,1.67969,-1.76,2.68591
2.175,1.8,0.7042,0.5,15.196,2.44066,-2.273,2.80762,0.271,4.20512
2.175,1.8,0.7042,0.675,14.648,2.50377,-0.529,2.79069,-0.53,4.40344
2.175,1.8,0.7042,0.825,24.623,4.32892,-4.392,4.71111,0.395,7.05615
2.175,1.8,0.7042,0.95,34.631,4.91078,-3.635,4.03448,3.585,6.83588
2.225,1.8,0.6791,-0.775,4.687,0.859374,-0.31,0.99666,1.838,1.59358
2.225,1.8,0.6791,-0.525,4.31,0.714729,0.635,0.762628,1.527,1.20334
2.225,1.8,0.6791,-0.3,3.566,0.749965,0.339,0.910864,0.935,1.44614
2.225,1.8,0.6791,-0.1,3.838,0.799888,-0.982,0.957915,0.613,1.56664
2.225,1.8,0.6791,0.1,10.043,1.47378,-1.17,1.38379,3.226,2.25186
2.225,1.8,0.6791,0.3,9.197,1.49779,-1.334,1.59963,1.025,2.55582
2.225,1.8,0.6791,0.5,11.283,2.07387,-1.24,2.64498,-1.499,3.96788
2.225,1.8,0.6791,0.675,15.278,2.59939,-2.743,3.05689,-4.022,4.9534
2.225,1.8,0.6791,0.825,26.659,4.68022,1.79,5.41305,8.53,7.47393
2.225,1.8,0.6791,0.95,36.924,5.23448,-2.022,4.44131,2.91,7.52271
2.275,1.8,0.6516,-0.775,3.763,0.695416,0.122,0.789129,-0.177,1.33516
2.275,1.8,0.6516,-0.525,3.012,0.548637,-0.558,0.609507,0.009,1.06
2.275,1.8,0.6516,-0.3,2.366,0.587919,-0.496,0.770189,0.501,1.28734
2.275,1.8,0.6516,-0.1,2.92,0.710266,-0.34,0.891888,-0.376,1.53163
2.275,1.8,0.6516,0.1,5.164,0.966358,-0.405,1.13799,1.659,1.87408
2.275,1.8,0.6516,0.3,8.003,1.34508,-1.808,1.49405,0.87,2.44012
2.275,1.8,0.6516,0.5,9.508,1.75883,-2.641,2.24933,-2.69,3.48624
2.275,1.8,0.6516,0.675,17.389,2.77662,-3.776,3.31755,-4.149,5.32119
2.275,1.8,0.6516,0.825,28.658,4.42015,-8.796,4.84848,-1.726,7.64267
2.275,1.8,0.6516,0.95,56.386,7.31692,-2.529,5.14951,-1.268,8.93923
2.325,1.8,0.621,-0.775,2.615,0.58161,-0.164,0.763241,0.374,1.27575
2.325,1.8,0.621,-0.525,2.187,0.4782,0.482,0.626543,0.831,1.00173
2.325,1.8,0.621,-0.3,2.477,0.560996,-0.479,0.734142,0.588,1.2439
2.325,1.8,0.621,-0.1,2.93,0.648456,-0.633,0.817362,-0.197,1.42719
2.325,1.8,0.621,0.1,3.351,0.731611,-0.752,0.966015,1.004,1.61727
2.325,1.8,0.621,0.3,6.6,1.1628,-1.515,1.35564,-0.052,2.28501
2.325,1.8,0.621,0.5,10.258,1.72664,-2.949,1.97635,-6.501,3.36022
2.325,1.8,0.621,0.675,17.844,2.98187,-2.119,3.80608,-5.963,6.03248
2.325,1.8,0.621,0.825,34.089,4.8214,-12.766,4.49539,-18.203,7.91781
2.325,1.8,0.621,0.95,52.88,7.08899,-8.84,5.32638,-10.067,9.93705
2.375,1.8,0.5907,-0.775,1.679,0.432242,0.123,0.622166,0.063,1.07403
2.375,1.8,0.5907,-0.525,2.056,0.472735,0.363,0.638414,0.235,1.08035
2.375,1.8,0.5907,-0.3,1.394,0.425157,-0.514,0.580125,-0.525,1.08374
2.375,1.8,0.5907,-0.1,1.558,0.504563,-0.371,0.723304,0.047,1.26301
2.375,1.8,0.5907,0.1,2.038,0.603039,-0.614,0.865985,0.49,1.4881
2.375,1.8,0.5907,0.3,4.813,0.954514,-1.027,1.21297,-0.477,2.10474
2.375,1.8,0.5907,0.5,8.055,1.45905,-3.065,1.7609,-5.138,3.1126
2.375,1.8,0.5907,0.675,23.389,3.74929,-0.171,5.18004,-1.629,7.87131
2.375,1.8,0.5907,0.825,30.035,4.45962,-9.065,4.65445,-14.249,7.97911
2.375,1.8,0.5907,0.95,49.61,6.87558,-10.323,5.74636,-8.493,10.8018
2.425,1.8,0.5588,-0.775,2.449,0.489434,0.483,0.560854,-2.679,1.18327
2.425,1.8,0.5588,-0.525,2.245,0.427209,0.125,0.56319,0.741,0.969883
2.425,1.8,0.5588,-0.3,1.784,0.428501,-0.619,0.630175,0.577,1.09508
2.425,1.8,0.5588,-0.1,1.493,0.443154,-0.681,0.663799,0.208,1.15826
2.425,1.8,0.5588,0.1,1.689,0.532121,-0.655,0.792713,0.008,1.394
2.425,1.8,0.5588,0.3,5.361,0.987448,-1.213,1.27791,-0.045,2.21801
2.425,1.8,0.5588,0.5,7.019,1.27558,-3.673,1.60462,-3.779,2.87619
2.425,1.8,0.5588,0.675,21.975,3.41006,-4.276,4.49493,-3.746,7.00273
2.425,1.8,0.5588,0.825,28.016,4.32513,-5.707,4.95123,-11.93,8.38697
2.425,1.8,0.5588,0.95,44.895,6.62011,-13.196,6.42817,-7.545,12.175
2.475,1.8,0.5289,-0.775,2.354,0.465295,-0.039,0.565018,-2.349,1.18433
2.475,1.8,0.5289,-0.525,1.298,0.294631,0.088,0.414128,-0.273,0.764667
2.475,1.8,0.5289,-0.3,0.946,0.310307,-0.446,0.499732,0.132,0.900132
2.475,1.8,0.5289,-0.1,0.518,0.317254,-0.264,0.513929,-0.064,0.94903
2.475,1.8,0.5289,0.1,1.947,0.479469,-0.818,0.740213,0.145,1.32011
2.475,1.8,0.5289,0.3,1.931,0.624909,-0.161,0.98518,0.132,1.73407
2.475,1.8,0.5289,0.5,8.971,1.4668,-0.701,1.75692,-4.259,3.15164
2.475,1.8,0.5289,0.675,18.552,3.05084,-2.81,4.22581,-9.589,6.73707
2.475,1.8,0.5289,0.825,26.883,4.01016,-9.582,4.73853,-15.001,8.21664
2.475,1.8,0.5289,0.95,48.954,7.10788,-14.72,6.45114,-20.773,13.5193
2.525,1.8,0.4983,-0.775,1.773,0.368884,0.338,0.522499,-0.992,0.992808
2.525,1.8,0.4983,-0.525,1.849,0.352834,0.133,0.501242,0.282,0.903603
2.525,1.8,0.4983,-0.3,0.208,0.202322,0.009,0.361002,0.05,0.632027
2.525,1.8,0.4983,-0.1,0.947,0.321661,-0.775,0.536715,0.186,0.925256
2.525,1.8,0.4983,0.1,0.077,0.229159,-0.023,0.394009,-0.003,0.725
2.525,1.8,0.4983,0.3,2.415,0.626271,-1.42,0.998913,0.078,1.76602
2.525,1.8,0.4983,0.5,4.437,0.916565,-3.079,1.2577,-2.677,2.47688
2.525,1.8,0.4983,0.675,11.781,2.16305,-5.065,3.19248,-11.518,5.57435
2.525,1.8,0.4983,0.825,33.001,5.10037,-0.658,7.25741,-5.724,11.0713
2.525,1.8,0.4983,0.95,53.557,7.46984,-24.269,7.21245,-8.121,14.0332
2.575,1.8,0.4658,-0.775,0.757,0.254284,0.546,0.40112,-0.496,0.753239
2.575,1.8,0.4658,-0.525,0.602,0.210868,0.284,0.38145,0.81,0.646979
2.575,1.8,0.4658,-0.3,1.149,0.295897,-0.364,0.50181,0.557,0.904351
2.575,1.8,0.4658,-0.1,0.154,0.194752,-0.114,0.394226,0.243,0.700577
2.575,1.8,0.4658,0.1,0.228,0.276162,-0.15,0.520296,0.233,0.898414
2.575,1.8,0.4658,0.3,0.812,0.437387,-0.292,0.783745,0.145,1.4421
2.575,1.8,0.4658,0.5,4.196,0.921387,-0.972,1.4066,-1.377,2.65789
2.575,1.8,0.4658,0.675,11.305,2.31719,-2.288,3.84932,-6.619,6.16186
2.575,1.8,0.4658,0.825,27.93,5.34334,-0.958,10.7346,-4.801,16.3836
2.575,1.8,0.4658,0.95,42.871,6.72578,-16.78,7.41753,-20.029,15.9323
1.695,2.6,0.7963,-0.775,3.427,1.95629,0.222,2.35614,-2.683,3.95348
1.695,2.6,0.7963,-0.525,3.936,1.69207,0.441,2.02366,0.596,3.17677
1.695,2.6,0.7963,-0.3,6.8,2.02335,-1.775,2.38705,0.843,3.84227
1.695,2.6,0.7963,-0.1,9.835,3.39129,1.319,4.02196,-1.415,6.04727
1.695,2.6,0.7963,0.1,7.99,2.57185,1.854,3.20635,3.179,4.80442
1.695,2.6,0.7963,0.3,5.286,2.06207,1.666,2.41787,-0.774,4.12799
1.695,2.6,0.7963,0.5,4.327,2.16626,0.782,2.75352,1.378,4.09318
1.695,2.6,0.7963,0.675,1.943,2.8884,0.687,3.80985,1.644,5.2905
1.695,2.6,0.7963,0.825,0.194,3.40604,0.033,4.354,0.017,6.811
1.695,2.6,0.7963,0.95,3.032,3.80912,-0.514,4.98936,1.487,7.47303
1.725,2.6,0.7804,-0.775,4.375,0.924449,-1.172,1.07677,2.31,1.72234
1.725,2.6,0.7804,-0.525,13.312,1.81016,3.284,1.69707,-3.16,2.74699
1.725,2.6,0.7804,-0.3,16.187,2.15366,3.243,2.13794,2.189,3.25808
1.725,2.6,0.7804,-0.1,9.976,1.65179,2.226,1.76631,1.863,2.75165
1.725,2.6,0.7804,0.1,9.986,1.61585,0.732,1.59131,-0.916,2.80505
1.725,2.6,0.7804,0.3,9.677,1.68989,-0.483,1.65297,-0.491,2.97256
1.725,2.6,0.7804,0.5,11.621,1.85283,1.322,1.75284,-1.516,3.15599
1.725,2.6,0.7804,0.675,12.589,1.99658,-1.116,2.04617,1.026,3.48807
1.725,2.6,0.7804,0.825,16.07,2.35598,0.857,2.17731,-3.867,3.94006
1.725,2.6,0.7804,0.95,14.458,2.83118,4.505,3.33689,4.745,5.15995
1.775,2.6,0.765,-0.775,5.573,1.41578,1.055,1.68353,-2.032,2.76922
1.775,2.6,0.765,-0.525,11.706,1.65566,1.785,1.59969,-6.249,2.83684
1.775,2.6,0.765,-0.3,15.284,1.9493,0.153,1.83209,-6.047,3.22848
1.775,2.6,0.765,-0.1,13.125,1.89359,-2.029,1.92073,-1.747,3.23147
1.775,2.6,0.765,0.1,16.004,2.1826,-0.165,2.30708,0.918,3.67957
1.775,2.6,0.765,0.3,17.264,2.38064,-2.987,2.03523,-5.989,3.93588
1.775,2.6,0.765,0.5,17.318,2.28567,-0.091,1.99603,-2.018,3.5778
1.775,2.6,0.765,0.675,22.031,2.65528,2.267,2.26856,-1.852,3.97491
1.775,2.6,0.765,0.825,25.277,2.89074,0.126,2.25105,-5.172,4.17212
1.775,2.6,0.765,0.95,16.806,2.83892,4.03,3.11687,1.298,5.02729
1.825,2.6,0.7481,-0.775,6.919,1.39828,-0.319,1.7324,-3.175,2.84139
1.825,2.6,0.7481,-0.525,10.885,1.55392,1.296,1.74759,-3.678,2.74692
1.825,2.6,0.7481,-0.3,20.48,2.30305,-0.307,2.1363,-5.731,3.50572
1.825,2.6,0.7481,-0.1,24.966,2.61189,-1.218,2.12778,-6.18,3.62681
1.825,2.6,0.7481,0.1,27.651,2.86296,0.952,2.37761,-1.757,3.88045
1.825,2.6,0.7481,0.3,27.115,3.00266,-2.032,2.69252,-5.995,4.41705
1.825,2.6,0.7481,0.5,25.602,2.90368,-0.839,2.35505,-7.273,4.20108
1.825,2.6,0.7481,0.675,31.655,3.5325,-0.282,2.7442,-0.287,4.89812
1.825,2.6,0.7481,0.825,24.327,2.73631,-0.201,2.22712,-0.784,3.90508
1.825,2.6,0.7481,0.95,28.905,3.42399,-1.494,3.07797,-0.801,5.18785
1.875,2.6,0.7306,-0.775,4.827,1.45103,1.635,2.04596,-0.849,2.84573
1.875,2.6,0.7306,-0.525,12.355,1.65684,2.696,1.8294,-6.915,3.00111
1.875,2.6,0.7306,-0.3,16.54,2.03564,1.496,2.21592,-8.593,3.51102
1.875,2.6,0.7306,-0.1,25.942,2.73687,0.274,2.43921,-14.885,4.32695
1.875,2.6,0.7306,0.1,28.09,2.76578,-4.785,2.02589,-11.118,3.62354
1.875,2.6,0.7306,0.3,26.262,2.70142,-5.434,2.22765,-4.967,3.63871
1.875,2.6,0.7306,0.5,30.47,3.26063,-2.219,2.80902,-3.726,4.52704
1.875,2.6,0.7306,0.675,20.882,2.61243,-1.886,2.30459,-3.302,4.22171
1.875,2.6,0.7306,0.825,23.918,2.75866,-3.851,2.24664,-3.56,4.2017
1.875,2.6,0.7306,0.95,24.2,3.03622,-2.471,2.80792,-3.815,4.96112
1.925,2.6,0.714,-0.775,6.321,1.27601,2.771,1.54735,-2.04,2.36706
1.925,2.6,0.714,-0.525,10.822,1.32876,2.147,1.28578,-4.125,2.17229
1.925,2.6,0.714,-0.3,16.397,1.89052,2.028,1.84631,-5.556,3.00417
1.925,2.6,0.714,-0.1,18.818,2.10448,-1.86,2.09633,-8.065,3.35061
1.925,2.6,0.714,0.1,26.136,2.68473,-0.095,2.37403,-2.91,3.66485
1.925,2.6,0.714,0.3,26.21,2.64867,-0.618,2.15921,-2.724,3.59316
1.925,2.6,0.714,0.5,23.916,2.62374,-1.604,2.40134,-2.859,3.8934
1.925,2.6,0.714,0.675,26.9,3.22524,-0.707,3.13909,4.287,4.94252
1.925,2.6,0.714,0.825,20.513,2.45485,-2.921,2.23528,3.743,3.93743
1.925,2.6,0.714,0.95,23.26,2.98411,-2.241,2.87,0.609,5.0475
1.975,2.6,0.6971,-0.775,5.798,1.00286,-0.429,1.11113,-1.258,1.9715
1.975,2.6,0.6971,-0.525,6.295,0.889987,1.187,0.902747,-4.182,1.7239
1.975,2.6,0.6971,-0.3,10.015,1.26486,0.601,1.27794,-2.217,2.15765
1.975,2.6,0.6971,-0.1,15.46,1.78808,0.352,1.83346,-1.148,2.79723
1.975,2.6,0.6971,0.1,17.604,2.0861,0.005,2.367,2.75,3.49683
1.975,2.6,0.6971,0.3,19.888,2.12861,-0.937,2.0749,4.861,3.27083
1.975,2.6,0.6971,0.5,21.428,2.31353,-0.278,2.16424,0.735,3.42108
1.975,2.6,0.6971,0.675,25.271,3.08692,-3.215,3.2856,3.202,5.00205
1.975,2.6,0.6971,0.825,25.457,2.87645,-3.588,2.43348,-0.3,4.40814
1.975,2.6,0.6971,0.95,35.175,3.76895,-4.498,3.19169,5.112,5.46185
2.025,2.6,0.6805,-0.775,3.347,0.783633,0.909,1.02255,0.528,1.57821
2.025,2.6,0.6805,-0.525,2.356,0.506307,0.443,0.595261,-0.989,1.04542
2.025,2.6,0.6805,-0.3,5.903,0.914591,-0.219,1.01732,-1.75,1.80962
2.025,2.6,0.6805,-0.1,7.397,1.06632,-0.424,1.21301,-1.206,1.99799
2.025,2.6,0.6805,0.1,10.145,1.29694,-3.758,1.53147,-0.485,2.34069
2.025,2.6,0.6805,0.3,19.395,2.15689,0.496,2.35771,2.626,3.59814
2.025,2.6,0.6805,0.5,18.402,1.99434,-1.21,1.95214,1.502,3.12694
2.025,2.6,0.6805,0.675,21.623,2.6076,-6.827,2.89632,0.315,4.43715
2.025,2.6,0.6805,0.825,25.863,2.97053,-3.66,2.82465,5.344,4.76024
2.025,2.6,0.6805,0.95,36.942,3.81377,-2.181,3.04272,0.223,5.33706
2.075,2.6,0.6613,-0.775,3.351,0.727861,0.216,0.96733,0.904,1.53365
2.075,2.6,0.6613,-0.525,2.002,0.461206,0.048,0.550029,-0.88,1.01523
2.075,2.6,0.6613,-0.3,3.012,0.654398,0.781,0.872797,-0.046,1.42101
2.075,2.6,0.6613,-0.1,5.722,0.872839,-0.156,1.08115,1.107,1.73085
2.075,2.6,0.6613,0.1,7.288,1.02114,-1.648,1.24305,1.056,1.96688
2.075,2.6,0.6613,0.3,12.516,1.63441,-0.192,2.09512,2.687,3.13381
2.075,2.6,0.6613,0.5,16.459,1.85253,-1.197,1.97497,2.335,3.12596
2.075,2.6,0.6613,0.675,18.735,2.51955,-0.514,3.21556,0.671,4.86363
2.075,2.6,0.6613,0.825,23.065,2.82689,-3.579,3.00433,3.75,4.89968
2.075,2.6,0.6613,0.95,35.122,3.69696,-1.246,3.10343,-2.589,5.51433
2.125,2.6,0.6387,-0.775,2,0.507244,-0.342,0.71512,0.154,1.19914
2.125,2.6,0.6387,-0.525,1.179,0.384357,0.127,0.538205,0.085,0.882056
2.125,2.6,0.6387,-0.3,2.063,0.531633,-0.285,0.706787,-0.142,1.23711
2.125,2.6,0.6387,-0.1,4.062,0.750019,-0.36,0.972912,-0.367,1.64656
2.125,2.6,0.6387,0.1,7.556,1.03496,-1.404,1.2211,-1.035,2.05357
2.125,2.6,0.6387,0.3,7.942,1.22708,-1.711,1.74452,-0.652,2.69908
2.125,2.6,0.6387,0.5,9.756,1.38697,-1.253,1.86278,0.69,2.94011
2.125,2.6,0.6387,0.675,14.648,2.14073,-1.603,2.85716,-0.235,4.51208
2.125,2.6,0.6387,0.825,15.272,2.54102,-0.331,3.24923,-0.076,5.08801
2.125,2.6,0.6387,0.95,27.031,3.18487,-2.917,3.22909,0.721,5.62463
2.175,2.6,0.6113,-0.775,2.334,0.521397,0.485,0.746161,0.525,1.19857
2.175,2.6,0.6113,-0.525,2.326,0.473147,0.596,0.610992,-0.961,1.06992
2.175,2.6,0.6113,-0.3,2.321,0.545292,-0.491,0.748209,0.117,1.31407
2.175,2.6,0.6113,-0.1,3.153,0.663451,0.091,0.931061,0.355,1.54756
2.175,2.6,0.6113,0.1,5.267,0.84046,-0.031,1.10601,1.717,1.80621
2.175,2.6,0.6113,0.3,6.292,1.15647,0.693,1.75687,0.422,2.64546
2.175,2.6,0.6113,0.5,8.988,1.37602,-3.12,1.94261,-1.328,3.08791
2.175,2.6,0.6113,0.675,9.095,1.69939,-1.29,2.40175,0.598,3.89463
2.175,2.6,0.6113,0.825,15.66,3.08223,-3.07,4.57412,-1.789,6.8442
2.175,2.6,0.6113,0.95,22.864,3.18361,0.807,3.79617,4.241,6.50994
2.225,2.6,0.5833,-0.775,2.173,0.465457,0.05,0.668026,0.284,1.14748
2.225,2.6,0.5833,-0.525,1.502,0.329857,0.376,0.456126,-0.448,0.781759
2.225,2.6,0.5833,-0.3,2.163,0.487416,-0.991,0.65337,-1.082,1.25142
2.225,2.6,0.5833,-0.1,2.203,0.520362,-0.207,0.784374,1.059,1.31186
2.225,2.6,0.5833,0.1,4.538,0.71113,0.818,0.977696,2.345,1.60562
2.225,2.6,0.5833,0.3,5.244,0.934776,-1.056,1.3915,0.229,2.27716
