Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
4.2,1.278,0.069,6.388,-1.852,1.825,-0.33,0.402,3.265,2.011,4.542
4.2,1.301,-0.071,6.504,-2.443,1.825,-0.32,0.407,3.245,2.034,4.563
4.2,1.324,-0.213,6.622,-3.041,1.825,-0.31,0.412,3.219,2.058,4.583
4.2,1.348,-0.358,6.739,-3.644,1.825,-0.3,0.417,3.186,2.084,4.601
4.2,1.371,-0.505,6.857,-4.25,1.825,-0.29,0.422,3.146,2.112,4.617
4.2,1.395,-0.653,6.974,-4.857,1.825,-0.28,0.428,3.099,2.142,4.631
4.2,1.418,-0.803,7.092,-5.464,1.825,-0.27,0.435,3.046,2.173,4.644
4.2,1.442,-0.953,7.209,-6.069,1.825,-0.26,0.441,2.988,2.206,4.657
4.2,1.465,-1.104,7.326,-6.67,1.825,-0.25,0.448,2.925,2.241,4.668
4.2,1.488,-1.256,7.442,-7.266,1.825,-0.24,0.456,2.86,2.278,4.68
4.2,1.512,-1.406,7.558,-7.855,1.825,-0.23,0.463,2.792,2.316,4.692
4.2,1.535,-1.557,7.673,-8.435,1.825,-0.22,0.471,2.721,2.355,4.705
4.2,1.557,-1.706,7.786,-9.004,1.825,-0.21,0.479,2.65,2.397,4.718
4.2,1.58,-1.854,7.899,-9.562,1.825,-0.2,0.488,2.579,2.44,4.734
4.2,1.602,-2.001,8.011,-10.107,1.825,-0.19,0.497,2.509,2.484,4.751
4.2,1.624,-2.145,8.121,-10.637,1.825,-0.18,0.506,2.44,2.53,4.77
4.2,1.646,-2.287,8.23,-11.151,1.825,-0.17,0.515,2.373,2.577,4.792
4.2,1.667,-2.427,8.337,-11.648,1.825,-0.16,0.525,2.309,2.626,4.816
4.2,1.689,-2.564,8.443,-12.126,1.825,-0.15,0.535,2.249,2.676,4.844
4.2,1.709,-2.698,8.547,-12.584,1.825,-0.14,0.546,2.194,2.728,4.876
4.2,1.73,-2.829,8.649,-13.021,1.825,-0.13,0.556,2.144,2.78,4.912
4.2,1.75,-2.956,8.75,-13.436,1.825,-0.12,0.567,2.101,2.835,4.953
4.2,1.77,-3.08,8.848,-13.828,1.825,-0.11,0.578,2.064,2.89,4.998
4.2,1.789,-3.199,8.944,-14.195,1.825,-0.1,0.589,2.036,2.947,5.048
4.2,1.808,-3.314,9.038,-14.538,1.825,-0.09,0.601,2.016,3.004,5.104
