Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
3.45,0.806,0.0,4.031,0.0,1.825,-1.0,0.196,0.0,0.978,0.0
3.45,0.806,-0.15,4.031,-0.421,1.825,-0.99,0.196,0.069,0.979,0.12
3.45,0.806,-0.292,4.031,-0.804,1.825,-0.98,0.196,0.137,0.981,0.241
3.45,0.806,-0.425,4.031,-1.15,1.825,-0.97,0.196,0.206,0.982,0.361
3.45,0.806,-0.549,4.031,-1.459,1.825,-0.96,0.197,0.275,0.984,0.482
3.45,0.806,-0.665,4.031,-1.734,1.825,-0.95,0.197,0.343,0.986,0.602
3.45,0.806,-0.774,4.031,-1.975,1.825,-0.94,0.197,0.412,0.987,0.723
3.45,0.806,-0.874,4.031,-2.185,1.825,-0.93,0.198,0.481,0.989,0.843
3.45,0.806,-0.966,4.031,-2.363,1.825,-0.92,0.198,0.549,0.991,0.964
3.45,0.806,-1.05,4.031,-2.511,1.825,-0.91,0.199,0.618,0.993,1.084
3.45,0.806,-1.127,4.031,-2.632,1.825,-0.9,0.199,0.687,0.995,1.204
3.45,0.806,-1.196,4.031,-2.725,1.825,-0.89,0.199,0.755,0.997,1.325
3.45,0.806,-1.257,4.031,-2.792,1.825,-0.88,0.2,0.824,0.999,1.445
3.45,0.806,-1.312,4.031,-2.835,1.825,-0.87,0.2,0.893,1.001,1.566
3.45,0.806,-1.359,4.031,-2.854,1.825,-0.86,0.201,0.961,1.003,1.686
3.45,0.806,-1.399,4.031,-2.851,1.825,-0.85,0.201,1.03,1.006,1.807
3.45,0.806,-1.431,4.031,-2.828,1.825,-0.84,0.202,1.098,1.008,1.927
3.45,0.806,-1.457,4.031,-2.785,1.825,-0.83,0.202,1.167,1.01,2.047
3.45,0.806,-1.476,4.031,-2.724,1.825,-0.82,0.203,1.236,1.013,2.168
3.45,0.806,-1.489,4.031,-2.645,1.825,-0.81,0.203,1.304,1.015,2.288
3.45,0.806,-1.495,4.031,-2.551,1.825,-0.8,0.204,1.373,1.018,2.409
3.45,0.806,-1.495,4.031,-2.443,1.825,-0.79,0.204,1.442,1.021,2.529
3.45,0.806,-1.488,4.031,-2.321,1.825,-0.78,0.205,1.51,1.023,2.65
3.45,0.802,-1.466,4.011,-2.151,1.825,-0.77,0.206,1.545,1.028,2.705
3.45,0.796,-1.273,3.978,-1.88,1.825,-0.76,0.207,1.546,1.035,2.695
3.45,0.791,-1.085,3.956,-1.608,1.825,-0.75,0.208,1.547,1.042,2.686
3.45,0.789,-0.903,3.943,-1.338,1.825,-0.74,0.21,1.55,1.048,2.677
3.45,0.788,-0.727,3.941,-1.071,1.825,-0.73,0.211,1.553,1.053,2.67
3.45,0.79,-0.558,3.948,-0.81,1.825,-0.72,0.212,1.557,1.058,2.663
3.45,0.793,-0.396,3.965,-0.555,1.825,-0.71,0.213,1.562,1.063,2.658
3.45,0.798,-0.242,3.99,-0.31,1.825,-0.7,0.213,1.567,1.067,2.653
3.45,0.805,-0.096,4.023,-0.075,1.825,-0.69,0.214,1.573,1.071,2.649
3.45,0.813,0.043,4.065,0.148,1.825,-0.68,0.215,1.58,1.075,2.645
3.45,0.823,0.173,4.115,0.358,1.825,-0.67,0.216,1.587,1.078,2.643
3.45,0.835,0.294,4.173,0.554,1.825,-0.66,0.216,1.594,1.081,2.641
3.45,0.847,0.407,4.237,0.735,1.825,-0.65,0.217,1.602,1.084,2.64
3.45,0.862,0.511,4.309,0.9,1.825,-0.64,0.217,1.61,1.086,2.64
3.45,0.878,0.606,4.388,1.048,1.825,-0.63,0.218,1.619,1.089,2.641
3.45,0.895,0.692,4.473,1.179,1.825,-0.62,0.218,1.628,1.091,2.642
3.45,0.913,0.77,4.564,1.292,1.825,-0.61,0.219,1.638,1.094,2.644
3.45,0.932,0.839,4.661,1.386,1.825,-0.6,0.219,1.647,1.096,2.647
