Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
3.45,0.953,0.899,4.764,1.462,1.825,-0.59,0.22,1.657,1.098,2.651
3.45,0.974,0.951,4.872,1.52,1.825,-0.58,0.22,1.667,1.1,2.655
3.45,0.997,0.994,4.985,1.558,1.825,-0.57,0.22,1.677,1.102,2.66
3.45,1.021,1.029,5.103,1.577,1.825,-0.56,0.221,1.687,1.104,2.666
3.45,1.045,1.056,5.226,1.577,1.825,-0.55,0.221,1.697,1.106,2.673
3.45,1.071,1.075,5.353,1.557,1.825,-0.54,0.222,1.708,1.109,2.68
3.45,1.097,1.086,5.484,1.519,1.825,-0.53,0.222,1.718,1.111,2.688
3.45,1.124,1.09,5.619,1.463,1.825,-0.52,0.223,1.728,1.114,2.697
3.45,1.151,1.086,5.757,1.388,1.825,-0.51,0.223,1.738,1.116,2.706
3.45,1.18,1.075,5.899,1.295,1.825,-0.5,0.224,1.747,1.119,2.716
3.45,1.209,1.057,6.044,1.185,1.825,-0.49,0.225,1.757,1.123,2.727
3.45,1.238,1.033,6.192,1.057,1.825,-0.48,0.225,1.766,1.126,2.739
3.45,1.269,1.002,6.343,0.913,1.825,-0.47,0.226,1.775,1.13,2.751
3.45,1.299,0.965,6.496,0.753,1.825,-0.46,0.227,1.784,1.134,2.764
3.45,1.33,0.922,6.651,0.578,1.825,-0.45,0.228,1.792,1.139,2.777
3.45,1.362,0.873,6.809,0.388,1.825,-0.44,0.229,1.8,1.144,2.792
3.45,1.394,0.82,6.968,0.184,1.825,-0.43,0.23,1.807,1.149,2.806
3.45,1.426,0.761,7.129,-0.034,1.825,-0.42,0.231,1.814,1.155,2.822
3.45,1.458,0.697,7.291,-0.264,1.825,-0.41,0.232,1.82,1.161,2.838
3.45,1.491,0.629,7.455,-0.506,1.825,-0.4,0.234,1.826,1.168,2.855
3.45,1.524,0.557,7.62,-0.758,1.825,-0.39,0.235,1.831,1.175,2.872
3.45,1.557,0.481,7.785,-1.021,1.825,-0.38,0.237,1.836,1.183,2.89
3.45,1.59,0.401,7.951,-1.294,1.825,-0.37,0.238,1.839,1.192,2.909
3.45,1.624,0.318,8.118,-1.575,1.825,-0.36,0.24,1.842,1.201,2.928
3.45,1.657,0.233,8.285,-1.863,1.825,-0.35,0.242,1.845,1.211,2.948
3.45,1.69,0.144,8.452,-2.158,1.825,-0.34,0.244,1.846,1.221,2.969
3.45,1.724,0.053,8.619,-2.459,1.825,-0.33,0.246,1.846,1.232,2.99
3.45,1.757,-0.04,8.786,-2.765,1.825,-0.32,0.249,1.846,1.244,3.011
3.45,1.791,-0.135,8.953,-3.075,1.825,-0.31,0.251,1.844,1.257,3.034
3.45,1.824,-0.232,9.119,-3.388,1.825,-0.3,0.254,1.842,1.271,3.056
3.45,1.857,-0.329,9.284,-3.704,1.825,-0.29,0.257,1.839,1.285,3.08
3.45,1.89,-0.428,9.449,-4.02,1.825,-0.28,0.26,1.834,1.3,3.104
3.45,1.923,-0.528,9.613,-4.338,1.825,-0.27,0.263,1.829,1.316,3.128
3.45,1.955,-0.628,9.775,-4.654,1.825,-0.26,0.267,1.824,1.333,3.154
3.45,1.987,-0.728,9.937,-4.97,1.825,-0.25,0.27,1.818,1.351,3.179
3.45,2.019,-0.828,10.097,-5.283,1.825,-0.24,0.274,1.811,1.369,3.206
3.45,2.051,-0.927,10.255,-5.593,1.825,-0.23,0.277,1.805,1.387,3.233
3.45,2.082,-1.027,10.412,-5.9,1.825,-0.22,0.281,1.799,1.407,3.26
3.45,2.114,-1.125,10.568,-6.201,1.825,-0.21,0.285,1.793,1.426,3.288
3.45,2.144,-1.222,10.721,-6.498,1.825,-0.2,0.289,1.787,1.447,3.317
3.45,2.175,-1.318,10.873,-6.788,1.825,-0.19,0.293,1.782,1.467,3.347
3.45,2.204,-1.413,11.022,-7.071,1.825,-0.18,0.298,1.778,1.489,3.377
3.45,2.234,-1.506,11.17,-7.346,1.825,-0.17,0.302,1.775,1.51,3.407
3.45,2.263,-1.597,11.315,-7.613,1.825,-0.16,0.306,1.773,1.532,3.439
3.45,2.292,-1.686,11.458,-7.871,1.825,-0.15,0.311,1.771,1.555,3.471
3.45,2.32,-1.772,11.598,-8.12,1.825,-0.14,0.315,1.772,1.577,3.503
3.45,2.347,-1.856,11.736,-8.358,1.825,-0.13,0.32,1.773,1.6,3.537
3.45,2.374,-1.938,11.871,-8.585,1.825,-0.12,0.325,1.777,1.623,3.571
3.45,2.401,-2.017,12.004,-8.8,1.825,-0.11,0.329,1.782,1.646,3.605
3.45,2.427,-2.092,12.134,-9.004,1.825,-0.1,0.334,1.79,1.67,3.64
3.45,2.452,-2.165,12.261,-9.195,1.825,-0.09,0.339,1.799,1.693,3.676
3.45,2.477,-2.234,12.385,-9.373,1.825,-0.08,0.343,1.811,1.716,3.713
3.45,2.501,-2.3,12.506,-9.537,1.825,-0.07,0.348,1.824,1.74,3.75
3.45,2.525,-2.363,12.624,-9.688,1.825,-0.06,0.353,1.839,1.763,3.786
3.45,2.548,-2.422,12.739,-9.825,1.825,-0.05,0.357,1.856,1.785,3.823
3.45,2.57,-2.477,12.851,-9.947,1.825,-0.04,0.361,1.875,1.807,3.859
3.45,2.592,-2.528,12.96,-10.055,1.825,-0.03,0.366,1.894,1.828,3.895
3.45,2.613,-2.575,13.066,-10.148,1.825,-0.02,0.37,1.915,1.849,3.93
3.45,2.634,-2.619,13.168,-10.225,1.825,-0.01,0.374,1.937,1.868,3.963
3.45,2.653,-2.658,13.267,-10.287,1.825,0.0,0.377,1.96,1.887,3.996
3.45,2.673,-2.694,13.363,-10.334,1.825,0.01,0.381,1.983,1.904,4.027
3.45,2.691,-2.725,13.456,-10.365,1.825,0.02,0.384,2.007,1.92,4.057
3.45,2.709,-2.752,13.545,-10.381,1.825,0.03,0.387,2.032,1.934,4.085
3.45,2.726,-2.775,13.63,-10.381,1.825,0.04,0.389,2.057,1.947,4.111
3.45,2.743,-2.793,13.713,-10.365,1.825,0.05,0.392,2.082,1.958,4.134
3.45,2.758,-2.808,13.791,-10.334,1.825,0.06,0.393,2.108,1.967,4.155
3.45,2.773,-2.818,13.867,-10.288,1.825,0.07,0.395,2.133,1.974,4.174
3.45,2.788,-2.824,13.939,-10.226,1.825,0.08,0.396,2.158,1.979,4.189
3.45,2.802,-2.825,14.008,-10.149,1.825,0.09,0.396,2.183,1.982,4.202
3.45,2.815,-2.823,14.073,-10.057,1.825,0.1,0.396,2.207,1.982,4.211
3.45,2.827,-2.816,14.135,-9.951,1.825,0.11,0.396,2.23,1.98,4.217
3.45,2.839,-2.806,14.193,-9.831,1.825,0.12,0.395,2.253,1.975,4.22
3.45,2.85,-2.791,14.248,-9.696,1.825,0.13,0.394,2.275,1.969,4.22
3.45,2.86,-2.773,14.3,-9.548,1.825,0.14,0.392,2.297,1.961,4.217
3.45,2.87,-2.751,14.348,-9.387,1.825,0.15,0.39,2.318,1.952,4.213
3.45,2.879,-2.724,14.394,-9.213,1.825,0.16,0.388,2.339,1.941,4.207
3.45,2.887,-2.695,14.435,-9.027,1.825,0.17,0.386,2.358,1.931,4.2
3.45,2.895,-2.661,14.474,-8.828,1.825,0.18,0.384,2.377,1.919,4.192
3.45,2.902,-2.624,14.51,-8.619,1.825,0.19,0.382,2.396,1.908,4.184
3.45,2.908,-2.584,14.542,-8.399,1.825,0.2,0.379,2.414,1.897,4.175
3.45,2.914,-2.541,14.571,-8.169,1.825,0.21,0.377,2.431,1.886,4.167
3.45,2.919,-2.495,14.597,-7.93,1.825,0.22,0.375,2.448,1.877,4.159
3.45,2.924,-2.445,14.621,-7.681,1.825,0.23,0.374,2.464,1.868,4.153
3.45,2.928,-2.393,14.641,-7.425,1.825,0.24,0.372,2.479,1.861,4.148
3.45,2.932,-2.339,14.659,-7.161,1.825,0.25,0.371,2.494,1.856,4.144
3.45,2.935,-2.282,14.673,-6.89,1.825,0.26,0.371,2.508,1.853,4.143
3.45,2.937,-2.223,14.685,-6.614,1.825,0.27,0.37,2.521,1.852,4.145
3.45,2.939,-2.161,14.695,-6.332,1.825,0.28,0.371,2.534,1.854,4.149
3.45,2.94,-2.098,14.702,-6.046,1.825,0.29,0.372,2.546,1.86,4.157
3.45,2.941,-2.033,14.706,-5.756,1.825,0.3,0.374,2.558,1.868,4.168
3.45,2.942,-1.967,14.708,-5.463,1.825,0.31,0.376,2.569,1.88,4.184
3.45,2.942,-1.9,14.708,-5.168,1.825,0.32,0.379,2.579,1.895,4.203
3.45,2.941,-1.831,14.705,-4.872,1.825,0.33,0.383,2.589,1.913,4.225
3.45,2.94,-1.762,14.701,-4.576,1.825,0.34,0.387,2.598,1.934,4.25
3.45,2.939,-1.692,14.694,-4.281,1.825,0.35,0.391,2.606,1.956,4.277
3.45,2.937,-1.622,14.686,-3.986,1.825,0.36,0.396,2.614,1.98,4.305
3.45,2.935,-1.552,14.676,-3.694,1.825,0.37,0.401,2.62,2.005,4.335
3.45,2.933,-1.482,14.664,-3.405,1.825,0.38,0.406,2.626,2.03,4.366
3.45,2.93,-1.412,14.651,-3.12,1.825,0.39,0.411,2.631,2.056,4.397
3.45,2.927,-1.343,14.636,-2.84,1.825,0.4,0.416,2.635,2.082,4.427
3.45,2.924,-1.275,14.621,-2.565,1.825,0.41,0.421,2.638,2.107,4.457
3.45,2.921,-1.208,14.604,-2.297,1.825,0.42,0.426,2.641,2.131,4.486
3.45,2.917,-1.142,14.586,-2.036,1.825,0.43,0.431,2.642,2.154,4.514
3.45,2.913,-1.079,14.567,-1.783,1.825,0.44,0.435,2.642,2.174,4.539
3.45,2.909,-1.017,14.547,-1.54,1.825,0.45,0.439,2.642,2.193,4.561
3.45,2.905,-0.957,14.527,-1.305,1.825,0.46,0.442,2.64,2.208,4.581
3.45,2.901,-0.899,14.507,-1.081,1.825,0.47,0.444,2.637,2.221,4.597
3.45,2.897,-0.845,14.486,-0.868,1.825,0.48,0.446,2.633,2.229,4.609
3.45,2.893,-0.793,14.466,-0.667,1.825,0.49,0.447,2.628,2.234,4.617
3.45,2.889,-0.744,14.445,-0.479,1.825,0.5,0.447,2.621,2.235,4.619
3.45,2.885,-0.699,14.425,-0.303,1.825,0.51,0.446,2.614,2.23,4.617
3.45,2.881,-0.658,14.405,-0.141,1.825,0.52,0.444,2.605,2.221,4.609
3.45,2.877,-0.621,14.386,0.007,1.825,0.53,0.442,2.595,2.209,4.598
3.45,2.873,-0.587,14.367,0.14,1.825,0.54,0.439,2.585,2.193,4.582
3.45,2.87,-0.558,14.35,0.258,1.825,0.55,0.435,2.573,2.174,4.563
3.45,2.867,-0.534,14.333,0.36,1.825,0.56,0.431,2.561,2.153,4.542
3.45,2.864,-0.515,14.319,0.447,1.825,0.57,0.426,2.547,2.131,4.518
3.45,2.861,-0.5,14.305,0.518,1.825,0.58,0.421,2.533,2.107,4.493
3.45,2.859,-0.491,14.294,0.572,1.825,0.59,0.417,2.519,2.083,4.466
3.45,2.857,-0.487,14.284,0.61,1.825,0.6,0.412,2.503,2.058,4.44
3.45,2.855,-0.489,14.277,0.632,1.825,0.61,0.407,2.488,2.034,4.413
3.45,2.854,-0.496,14.272,0.637,1.825,0.62,0.402,2.472,2.011,4.386
3.45,2.854,-0.509,14.269,0.625,1.825,0.63,0.398,2.455,1.989,4.361
3.45,2.854,-0.529,14.27,0.598,1.825,0.64,0.394,2.438,1.97,4.337
3.45,2.855,-0.554,14.273,0.554,1.825,0.65,0.391,2.421,1.953,4.316
3.45,2.856,-0.585,14.28,0.495,1.825,0.66,0.388,2.404,1.939,4.297
3.45,2.858,-0.623,14.29,0.42,1.825,0.67,0.386,2.387,1.928,4.281
3.45,2.861,-0.667,14.304,0.331,1.825,0.68,0.384,2.369,1.922,4.27
3.45,2.864,-0.717,14.322,0.228,1.825,0.69,0.384,2.352,1.92,4.262
3.45,2.869,-0.773,14.345,0.112,1.825,0.7,0.384,2.336,1.922,4.259
3.45,2.874,-0.835,14.372,-0.017,1.825,0.71,0.386,2.32,1.928,4.259
3.45,2.881,-0.903,14.403,-0.157,1.825,0.72,0.387,2.305,1.937,4.265
3.45,2.888,-0.977,14.44,-0.308,1.825,0.73,0.39,2.292,1.949,4.274
3.45,2.896,-1.056,14.482,-0.467,1.825,0.74,0.393,2.281,1.965,4.289
3.45,2.906,-1.141,14.529,-0.635,1.825,0.75,0.397,2.271,1.983,4.307
3.45,2.917,-1.231,14.583,-0.808,1.825,0.76,0.401,2.264,2.004,4.331
3.45,2.928,-1.326,14.642,-0.986,1.825,0.77,0.405,2.26,2.027,4.36
3.45,2.942,-1.425,14.708,-1.167,1.825,0.78,0.41,2.259,2.052,4.393
3.45,2.956,-1.527,14.78,-1.348,1.825,0.79,0.416,2.261,2.079,4.432
3.45,2.972,-1.633,14.86,-1.529,1.825,0.8,0.421,2.267,2.107,4.475
3.45,2.989,-1.741,14.946,-1.705,1.825,0.81,0.427,2.277,2.137,4.524
3.45,3.008,-1.851,15.04,-1.876,1.825,0.82,0.433,2.291,2.167,4.578
3.45,3.028,-1.962,15.142,-2.038,1.825,0.83,0.44,2.31,2.198,4.638
3.45,3.05,-2.072,15.252,-2.189,1.825,0.84,0.446,2.334,2.23,4.703
3.45,3.074,-2.18,15.371,-2.325,1.825,0.85,0.452,2.363,2.262,4.773
3.45,3.1,-2.285,15.498,-2.444,1.825,0.86,0.459,2.397,2.293,4.849
3.45,3.127,-2.386,15.635,-2.542,1.825,0.87,0.465,2.438,2.325,4.931
3.45,3.156,-2.479,15.78,-2.615,1.825,0.88,0.471,2.484,2.356,5.019
3.45,3.187,-2.563,15.936,-2.661,1.825,0.89,0.477,2.538,2.386,5.113
3.45,3.22,-2.636,16.101,-2.674,1.825,0.9,0.483,2.598,2.415,5.213
3.45,3.255,-2.692,16.277,-2.651,1.825,0.91,0.489,2.665,2.443,5.319
3.45,3.293,-2.729,16.463,-2.587,1.825,0.92,0.494,2.74,2.47,5.431
3.45,3.332,-2.742,16.661,-2.477,1.825,0.93,0.499,2.823,2.494,5.549
3.45,3.374,-2.722,16.87,-2.318,1.825,0.94,0.503,2.913,2.517,5.674
3.45,3.418,-2.661,17.09,-2.103,1.825,0.95,0.507,3.012,2.537,5.805
3.45,3.418,-2.546,17.09,-1.827,1.825,0.96,0.514,2.41,2.568,4.644
3.45,3.418,-2.356,17.09,-1.485,1.825,0.97,0.52,1.807,2.599,3.483
3.45,3.418,-2.052,17.09,-1.071,1.825,0.98,0.526,1.205,2.631,2.322
3.45,3.418,-1.547,17.09,-0.578,1.825,0.99,0.533,0.602,2.663,1.161
