Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
5.0,0.955,0.179,4.773,-1.689,1.825,-0.33,0.857,6.482,4.284,8.207
5.0,0.972,-0.003,4.859,-2.541,1.825,-0.32,0.868,6.433,4.341,8.232
5.0,0.989,-0.188,4.946,-3.402,1.825,-0.31,0.88,6.365,4.4,8.248
5.0,1.006,-0.376,5.032,-4.268,1.825,-0.3,0.892,6.277,4.46,8.254
5.0,1.024,-0.567,5.119,-5.138,1.825,-0.29,0.905,6.168,4.523,8.251
5.0,1.041,-0.761,5.207,-6.01,1.825,-0.28,0.917,6.039,4.587,8.239
5.0,1.059,-0.956,5.294,-6.88,1.825,-0.27,0.931,5.893,4.654,8.219
5.0,1.076,-1.152,5.381,-7.746,1.825,-0.26,0.944,5.732,4.722,8.193
5.0,1.094,-1.349,5.468,-8.606,1.825,-0.25,0.959,5.557,4.793,8.162
5.0,1.111,-1.547,5.555,-9.457,1.825,-0.24,0.973,5.373,4.866,8.128
5.0,1.128,-1.744,5.641,-10.298,1.825,-0.23,0.988,5.179,4.942,8.091
5.0,1.145,-1.941,5.727,-11.125,1.825,-0.22,1.004,4.979,5.02,8.053
5.0,1.163,-2.137,5.813,-11.936,1.825,-0.21,1.02,4.775,5.1,8.016
5.0,1.179,-2.332,5.897,-12.73,1.825,-0.2,1.037,4.569,5.183,7.98
5.0,1.196,-2.525,5.981,-13.503,1.825,-0.19,1.054,4.362,5.269,7.946
5.0,1.213,-2.716,6.064,-14.255,1.825,-0.18,1.072,4.158,5.358,7.917
5.0,1.229,-2.904,6.146,-14.984,1.825,-0.17,1.09,3.958,5.449,7.894
5.0,1.245,-3.09,6.227,-15.686,1.825,-0.16,1.109,3.765,5.544,7.877
5.0,1.261,-3.272,6.307,-16.361,1.825,-0.15,1.128,3.58,5.641,7.869
5.0,1.277,-3.451,6.386,-17.006,1.825,-0.14,1.148,3.406,5.742,7.869
5.0,1.293,-3.626,6.463,-17.621,1.825,-0.13,1.169,3.245,5.846,7.881
5.0,1.308,-3.797,6.539,-18.203,1.825,-0.12,1.191,3.099,5.953,7.905
5.0,1.323,-3.964,6.613,-18.751,1.825,-0.11,1.213,2.97,6.064,7.941
5.0,1.337,-4.125,6.686,-19.264,1.825,-0.1,1.236,2.861,6.178,7.993
5.0,1.352,-4.282,6.758,-19.74,1.825,-0.09,1.259,2.773,6.295,8.06
5.0,1.365,-4.433,6.827,-20.179,1.825,-0.08,1.283,2.704,6.415,8.14
5.0,1.379,-4.579,6.895,-20.579,1.825,-0.07,1.307,2.654,6.536,8.231
5.0,1.392,-4.718,6.961,-20.939,1.825,-0.06,1.331,2.621,6.656,8.33
5.0,1.405,-4.852,7.026,-21.258,1.825,-0.05,1.355,2.603,6.775,8.436
5.0,1.418,-4.98,7.088,-21.536,1.825,-0.04,1.378,2.599,6.891,8.544
5.0,1.43,-5.102,7.149,-21.772,1.825,-0.03,1.401,2.606,7.003,8.654
5.0,1.441,-5.217,7.208,-21.966,1.825,-0.02,1.422,2.625,7.109,8.762
5.0,1.453,-5.325,7.264,-22.117,1.825,-0.01,1.442,2.652,7.209,8.866
5.0,1.464,-5.426,7.319,-22.224,1.825,0.0,1.46,2.687,7.3,8.963
5.0,1.474,-5.521,7.372,-22.288,1.825,0.01,1.477,2.728,7.383,9.051
5.0,1.485,-5.608,7.423,-22.309,1.825,0.02,1.491,2.773,7.454,9.128
5.0,1.494,-5.689,7.471,-22.286,1.825,0.03,1.503,2.82,7.514,9.19
5.0,1.504,-5.762,7.518,-22.22,1.825,0.04,1.512,2.869,7.561,9.236
5.0,1.513,-5.828,7.563,-22.11,1.825,0.05,1.519,2.918,7.593,9.262
5.0,1.521,-5.887,7.606,-21.958,1.825,0.06,1.522,2.964,7.61,9.267
5.0,1.529,-5.938,7.646,-21.764,1.825,0.07,1.522,3.007,7.609,9.248
